employeeid,environmentsatisfaction,jobsatisfaction,worklifebalance,age,businesstravel,department,distancefromhome,education,educationfield,gender,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,percentsalaryhike,stockoptionlevel,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,jobinvolvement,performancerating,retirementdate,retirementtype,resignationreason
1,3.0,4.0,2.0,51,travel_rarely,sales,6,2,life sciences,female,1,healthcare representative,married,131160,1,11,0,1.0,6,1,0,0,3,3,,,
2,3.0,2.0,4.0,31,travel_frequently,research & development,10,1,life sciences,female,1,research scientist,single,41890,0,23,1,6.0,3,5,1,4,2,4,2016-10-15,resignation,others
3,2.0,2.0,1.0,32,travel_frequently,research & development,17,4,other,male,4,sales executive,married,193280,1,15,3,5.0,2,5,0,3,3,3,,,
4,4.0,4.0,3.0,38,non-travel,research & development,2,5,life sciences,male,3,human resources,married,83210,3,11,3,13.0,5,8,7,5,2,3,,,
5,4.0,1.0,3.0,32,travel_rarely,research & development,10,1,medical,male,1,sales executive,single,23420,4,12,2,9.0,2,6,0,4,3,3,,,
6,3.0,2.0,2.0,46,travel_rarely,research & development,8,3,life sciences,female,4,research director,married,40710,3,13,0,28.0,5,7,7,7,3,3,,,
7,1.0,3.0,1.0,28,travel_rarely,research & development,11,2,medical,male,2,sales executive,single,58130,2,20,1,5.0,2,0,0,0,3,4,2016-07-20,resignation,stress
8,1.0,2.0,3.0,29,travel_rarely,research & development,18,3,life sciences,male,2,sales executive,married,31430,2,22,3,10.0,2,0,0,0,3,4,,,
9,2.0,4.0,3.0,31,travel_rarely,research & development,1,3,life sciences,male,3,laboratory technician,married,20440,0,21,0,10.0,2,9,7,8,3,4,,,
10,2.0,1.0,3.0,25,non-travel,research & development,7,4,medical,female,4,laboratory technician,divorced,134640,1,13,1,6.0,2,6,1,5,3,3,,,
11,3.0,4.0,3.0,45,travel_rarely,research & development,17,2,medical,male,2,laboratory technician,married,79910,0,13,2,21.0,2,20,4,10,2,3,,,
12,3.0,4.0,3.0,36,travel_rarely,research & development,28,1,life sciences,male,1,laboratory technician,married,33770,0,12,2,16.0,2,15,10,11,3,3,,,
13,4.0,1.0,3.0,55,travel_rarely,research & development,14,4,life sciences,female,1,sales executive,single,55380,0,17,0,37.0,2,36,4,13,3,3,,,
14,1.0,2.0,2.0,47,non-travel,research & development,1,1,medical,male,1,research scientist,married,57620,1,11,2,10.0,4,10,9,9,2,3,2016-08-11,resignation,others
15,4.0,4.0,2.0,28,travel_rarely,research & development,1,3,life sciences,male,1,manufacturing director,married,25920,1,14,0,5.0,2,5,0,4,3,3,,,
16,3.0,4.0,4.0,37,travel_rarely,research & development,1,3,life sciences,male,2,healthcare representative,married,53460,4,11,0,7.0,2,5,0,1,3,3,,,
17,4.0,3.0,4.0,21,travel_rarely,research & development,3,2,life sciences,male,1,laboratory technician,single,42130,1,12,3,3.0,3,3,1,0,2,3,,,
18,1.0,4.0,3.0,37,non-travel,research & development,1,3,medical,male,2,sales executive,divorced,41270,2,13,1,15.0,2,5,0,2,3,3,,,
19,2.0,2.0,2.0,35,travel_rarely,sales,7,4,life sciences,male,1,sales representative,divorced,24380,7,16,0,10.0,5,7,6,2,2,3,,,
20,1.0,1.0,3.0,38,travel_rarely,research & development,8,3,life sciences,female,1,manager,divorced,68700,1,11,1,8.0,5,8,7,7,3,3,,,
21,3.0,2.0,1.0,26,travel_frequently,research & development,1,4,other,male,2,laboratory technician,divorced,104470,1,18,0,6.0,3,6,1,4,3,3,,,
22,1.0,2.0,2.0,50,travel_rarely,sales,8,4,life sciences,male,1,research scientist,divorced,96670,3,23,0,28.0,2,10,1,6,2,4,,,
23,3.0,3.0,2.0,53,travel_rarely,research & development,11,4,life sciences,female,2,research scientist,married,21480,3,11,0,21.0,2,5,1,3,3,3,,,
24,2.0,3.0,3.0,42,travel_rarely,research & development,4,4,life sciences,male,1,manufacturing director,married,89260,1,14,0,10.0,4,20,11,6,1,3,,,
25,2.0,4.0,2.0,29,travel_frequently,research & development,16,4,medical,male,1,laboratory technician,single,65130,1,11,1,10.0,2,10,0,9,3,3,,,
26,2.0,4.0,3.0,55,travel_rarely,research & development,1,4,other,female,1,research scientist,married,67990,3,11,0,12.0,2,10,0,8,3,3,,,
