totalworkingyears,yearswithcurrmanager,age,businesstravel,jobsatisfaction,environmentsatisfaction,department,worklifebalance,retired
1.0,0,0.7857142857142856,2,4.0,3.0,1,2.0,0
6.0,4,0.3095238095238095,3,2.0,3.0,2,4.0,1
5.0,3,0.3333333333333333,3,2.0,2.0,2,1.0,0
13.0,5,0.4761904761904761,1,4.0,4.0,2,3.0,0
9.0,4,0.3333333333333333,2,1.0,4.0,2,3.0,0
28.0,7,0.6666666666666665,2,2.0,3.0,2,2.0,0
5.0,0,0.23809523809523808,2,3.0,1.0,2,1.0,1
10.0,0,0.2619047619047619,2,2.0,1.0,2,3.0,0
10.0,8,0.3095238095238095,2,4.0,2.0,2,3.0,0
6.0,5,0.16666666666666669,1,1.0,2.0,2,3.0,0
21.0,10,0.6428571428571428,2,4.0,3.0,2,3.0,0
16.0,11,0.42857142857142855,2,4.0,3.0,2,3.0,0
37.0,13,0.8809523809523809,2,1.0,4.0,2,3.0,0
10.0,9,0.6904761904761905,1,2.0,1.0,2,2.0,1
5.0,4,0.23809523809523808,2,4.0,4.0,2,2.0,0
7.0,1,0.4523809523809524,2,4.0,3.0,2,4.0,0
3.0,0,0.07142857142857145,2,3.0,4.0,2,4.0,0
15.0,2,0.4523809523809524,1,4.0,1.0,2,3.0,0
10.0,2,0.4047619047619047,2,2.0,2.0,1,2.0,0
8.0,7,0.4761904761904761,2,1.0,1.0,2,3.0,0
6.0,4,0.19047619047619052,3,2.0,3.0,2,1.0,0
28.0,6,0.7619047619047619,2,2.0,1.0,1,2.0,0
21.0,3,0.8333333333333333,2,3.0,3.0,2,2.0,0
10.0,6,0.5714285714285714,2,3.0,2.0,2,3.0,0
10.0,9,0.2619047619047619,3,4.0,2.0,2,2.0,0
12.0,8,0.8809523809523809,2,4.0,2.0,2,3.0,0
5.0,3,0.19047619047619052,3,1.0,1.0,2,3.0,0
17.0,7,0.4523809523809524,2,4.0,4.0,1,3.0,0
19.0,0,0.6190476190476188,3,3.0,4.0,2,1.0,1
10.0,2,0.4761904761904761,2,4.0,4.0,1,3.0,0
5.0,2,0.19047619047619052,2,2.0,1.0,2,3.0,1
5.0,2,0.23809523809523808,2,4.0,4.0,2,3.0,0
22.0,2,0.7380952380952379,3,1.0,3.0,2,3.0,0
10.0,7,0.42857142857142855,2,2.0,3.0,1,3.0,0
2.0,2,0.3095238095238095,3,2.0,4.0,2,2.0,0
8.0,4,0.19047619047619052,2,4.0,4.0,2,3.0,1
4.0,2,0.4523809523809524,3,4.0,2.0,1,2.0,0
23.0,8,0.5714285714285714,3,2.0,3.0,1,4.0,0
0.0,0,0.0,2,3.0,3.0,2,3.0,1
12.0,9,0.4047619047619047,2,2.0,3.0,1,2.0,0
4.0,0,0.42857142857142855,3,2.0,3.0,2,3.0,0
13.0,2,0.7857142857142856,2,2.0,4.0,2,3.0,0
22.0,4,0.5476190476190477,2,2.0,4.0,2,3.0,0
0.0,0,0.0,2,3.0,4.0,1,3.0,0
9.0,7,0.23809523809523808,2,1.0,2.0,2,3.0,0
10.0,7,0.3095238095238095,2,4.0,2.0,2,2.0,0
19.0,7,0.49999999999999994,2,4.0,3.0,1,2.0,0
11.0,8,0.42857142857142855,1,2.0,2.0,2,3.0,0
13.0,8,0.3333333333333333,2,3.0,4.0,1,2.0,0
19.0,1,0.4761904761904761,2,2.0,1.0,2,3.0,0
12.0,2,0.9523809523809523,1,3.0,4.0,2,3.0,0
6.0,3,0.3095238095238095,2,4.0,3.0,2,3.0,0
9.0,0,0.3095238095238095,2,1.0,1.0,1,3.0,0
24.0,11,0.6428571428571428,3,1.0,1.0,2,3.0,0
3.0,2,0.3095238095238095,2,4.0,3.0,1,1.0,0
12.0,8,0.35714285714285715,3,2.0,4.0,2,3.0,0
21.0,10,0.49999999999999994,2,1.0,3.0,1,3.0,0
9.0,7,0.5952380952380951,3,4.0,3.0,2,3.0,0
25.0,7,0.7380952380952379,2,3.0,3.0,2,3.0,0
11.0,7,0.8095238095238095,2,2.0,3.0,2,2.0,1
4.0,2,0.21428571428571425,2,2.0,3.0,2,2.0,0
13.0,9,0.3333333333333333,2,2.0,3.0,2,3.0,0
5.0,4,0.21428571428571425,2,3.0,4.0,2,3.0,0
13.0,7,0.3095238095238095,2,4.0,4.0,1,3.0,0
10.0,7,0.3333333333333333,2,4.0,1.0,2,2.0,0
5.0,2,0.23809523809523808,2,4.0,1.0,2,2.0,1
11.0,9,0.28571428571428564,2,4.0,4.0,2,3.0,0
10.0,9,0.3095238095238095,3,3.0,3.0,2,3.0,0
21.0,3,0.49999999999999994,3,4.0,3.0,2,3.0,0
9.0,1,0.35714285714285715,3,4.0,2.0,1,2.0,0
21.0,1,0.6904761904761905,2,3.0,4.0,2,3.0,0
9.0,0,0.5952380952380951,3,3.0,3.0,2,4.0,0
6.0,4,0.21428571428571425,1,2.0,3.0,2,3.0,0
20.0,3,0.857142857142857,3,3.0,4.0,2,2.0,0
10.0,0,0.5952380952380951,2,1.0,3.0,2,2.0,0
12.0,8,0.6428571428571428,2,4.0,4.0,1,3.0,0
6.0,2,0.5238095238095237,2,4.0,2.0,2,2.0,0
7.0,7,0.2619047619047619,2,1.0,2.0,2,2.0,1
4.0,2,0.2619047619047619,2,4.0,2.0,5,3.0,0
